foul	f {O l
seedling	' s i: d l I N
consultant	k @ n ' s 6 l t @ n t
shanty	' S { n t i:
mono	' m O n @}
newspaper	' n j }: z p {I p @
situation	s I tS }: ' {I S @ n
constituency	k @ n ' s t I t j }: @ n s i:
chamois	' S { m i:
girth	g 3: T
penthouse	' p e n t h {O s
discolour	d I s ' k 6 l @
aluminium	{ l j @ ' m I n i: @ m
canoe	k @ ' n }:
brow	b r\ {O
purse	p 3: s
dubious	' d j }: b i: @ s
cock-up	' k O k 6 p
toothache	' t }: T {I k
blab	b l { b
technology	t e k ' n O l @ dZ i:
ivy	' Ae v i:
ingrained	' I n g r\ {I n d
parliament	' p 6: l @ m @ n t
workout	' w 3: k {O t
breakdown	' b r\ {I k d {O n
hideaway	' h Ae d @ w {I
deft	d e f t
I	Ae
defy	d @ ' f Ae
deflate	d @ ' f l {I t
domineering	d O m @ ' n I@ r\ I N
barber	' b 6: b @
advertisement	@ d ' v 3: t @ s m @ n t
by-product	' b Ae p r\ O d 6 k t
wane	w {I n
antihistamine	{ n t i: ' h I s t @ m i: n
vacant	' v {I k @ n t
tentacle	' t e n t @ k @ l
veal	v i: l
pewter	' p j }: t @
grumpy	' g r\ 6 m p i:
dimension	d @ ' m e n S @ n
scholarship	' s k O l @ S I p
summer	' s 6 m @
being	' b i: I N
disconcert	d I s k @ n ' s 3: t
slime	s l Ae m
rest	r\ e s t
amalgamate	@ ' m { l g @ m {I t
disperse	d @ ' s p 3: s
Judith	dZ }: d @ T
underline	6 n d @ ' l Ae n
weekly	' w i: k l i:
alarmist	@ ' l 6: m @ s t
pillar	' p I l @
instrument	' I n s t r\ @ m @ n t
armchair	' 6: m tS e:
around	@ ' r\ {O n d
dart	d 6: t
dark	d 6: k
snarl	s n 6: l
traffic	' t r\ { f I k
darn	d 6: n
vacuum	' v { k j }: m
world	w 3: l d
mayonnaise	m {I @ ' n {I z
dare	d e:
clan	k l { n
clam	k l { m
stranger	' s t r\ {I n dZ @
shutter	' S 6 t @
clay	k l {I
claw	k l o:
stationary	' s t {I S @ n r\ i:
kennel	' k e n @ l
clap	k l { p
obstruct	@ b ' s t r\ 6 k t
satisfactory	s { t @ s ' f { k t r\ i:
superintendent	s }: p @ r\ I n ' t e n d @ n t
grub	g r\ 6 b
gaggle	' g { g @ l
wattle	' w O t @ l
scapegoat	' s k {I p g @} t
moreover	m o: r\ ' @} v @
divine	d @ ' v Ae n
pod	p O d
there'll	D e: l
cavity	' k { v @ t i:
noon	n }: n
nook	n U k
cannabis	' k { n @ b @ s
exit	' e k s @ t
pentathlon	p e n ' t { T l O n
tablespoon	' t {I b @ l s p }: n
appetising	' { p @ t Ae z I N
refer	r\ @ ' f 3:
squabble	' s k w O b @ l
averse	@ ' v 3: s
power	' p {O @
intimate	' I n t @ m @ t
ration	' r\ { S @ n
poise	p oI z
debug	d i: ' b 6 g
sloppily	s l O p @ l i:
freeloader	' f r\ i: l @} d @
stone	s t @} n
ace	{I s
package	' p { k I dZ
industry	' I n d @ s t r\ i:
slender	' s l e n d @
side	s Ae d
rumpus	' r\ 6 m p @ s
act	{ k t
lofty	' l O f t i:
marshmallow	m 6: S ' m { l @}
antidote	' { n t i: d @} t
tortuous	' t o: tS }: @ s
widower	' w I d @} @
lively	' l Ae v l i:
pivot	' p I v @ t
het	h e t
hew	h j }:
burglar	' b 3: g l @
her	h 3:
gleam	g l i: m
glean	g l i: n
NE	n o: T ' i: s t
mindless	' m Ae n d l @ s
futile	' f j }: t Ae l
series	' s I@ r\ i: z
hem	h e m
hen	h e n
bubble	' b 6 b @ l
NW	n o: T ' w e s t
complete	k @ m ' p l i: t
defrost	d i: ' f r\ O s t
tinnie	' t I n i:
antiquated	' { n t @ k w {I t @ d
mice	m Ae s
with	w I T
buying	b Ae I N
bundy	' b 6 n d i:
pull	p U l
rush	r\ 6 S
mislay	m I s ' l {I
monopoly	m @ ' n O p @ l i:
flirt	f l 3: t
dirty	' d 3: t i:
reprimand	' r\ e p r\ @ m { n d
agree	@ ' g r\ i:
rust	r\ 6 s t
gone	g O n
ad	{ d
fright	f r\ Ae t
migrate	' m Ae g r\ {I t
certain	' s 3: t @ n
bookstall	' b U k s t o: l
am	{ m
Thursday	' T 3: z d {I
an	{ n
as	{ z
hoodlum	' h }: d l @ m
at	{ t
follow-up	' f O l @} 6 p
laboratory	l @ ' b O r\ @ t r\ i:
creak	k r\ i: k
pedestal	' p e d @ s t @ l
jargon	' dZ 6: g @ n
tremble	' t r\ e m b @ l
first-class	' f 3: s t k l 6: s
slobber	' s l O b @
cream	k r\ i: m
yoga	' j @} g @
extract	@ k ' s t r\ { k t
graduate	' g r\ { dZ }: @ t
tight	t Ae t
summit	' s 6 m @ t
p.a.	p 3: r\ ' { n @ m
congress	' k O N g r\ e s
annex	' { n e k s
slant	s l { n t
midget	' m I dZ @ t
unanimous	j }: ' n { n @ m @ s
slang	s l { N
gastric	' g { s t r\ I k
menace	' m e n @ s
dogleg	' d O g l e g
neuter	' n j }: t @
thorn	T o: n
groom	g r\ }: m
mask	m 6: s k
kilogram	' k I l @ g r\ { m
mash	m { S
mimic	' m I m I k
mast	m 6: s t
mass	m { s
sawing	s o: r\ I N
ringworm	' r\ I N w 3: m
original	@ ' r\ I dZ @ n @ l
gingham	' g I N @ m
influenza	I n f l }: ' e n z @
consider	k @ n ' s I d @
caused	k o: z d
beware	b @ ' w e:
ceramic	s @ ' r\ { m I k
debris	' d e b r\ i:
upkeep	' 6 p k i: p
welfare	' w e l f e:
urbane	3: ' b {I n
etching	' e tS I N
irrelevant	I ' r\ e l @ v @ n t
encourage	e n ' k 6 r\ I dZ
spirit	' s p I r\ @ t
to	t }:
tail	t {I l
dressing	' d r\ e s I N
smile	s m Ae l
ta	t 6:
roadway	' r\ @} d w {I
appointment	@ ' p oI n t m @ n t
debit	' d e b @ t
detention	d @ ' t e n S @ n
baton	' b { t @ n
blockade	b l O ' k {I d
candid	' k { n d @ d
diary	' d Ae @ r\ i:
condition	k @ n ' d I S @ n
cable	' k {I b @ l
lawnmower	' l o: n m @} @
millimetre	' m I l @ m i: t @
large	l 6: dZ
dinosaur	' d Ae n @ s o:
sand	s { n d
adjust	@ ' dZ 6 s t
facsimile	f { k ' s I m @ l i:
small	s m o: l
mammal	' m { m @ l
joiner	' dZ oI n @
sank	s { N k
antibiotic	{ n t i: b Ae ' O t I k
methodical	m @ ' T O d I k @ l
nightdress	' n Ae t d r\ e s
past	p 6: s t
burnish	' b 3: n I S
honourable	' O n @ r\ @ b @ l
pass	p 6: s
destitute	' d e s t @ t j }: t
situated	' s I tS }: {I t @ d
clock	k l O k
section	' s e k S @ n
whiff	w I f
nurse	n 3: s
method	' m e T @ d
contrast	' k O n t r\ 6: s t
full	f U l
hash	h { S
dramatise	' d r\ { m @ t Ae z
legend	' l e dZ @ n d
overawe	@} v @ r\ ' o:
landslide	' l { n d s l Ae d
experience	@ k ' s p I@ r\ i: e n s
prior	' p r\ Ae @
pick	p I k
action	' { k S @ n
luck	l 6 k
smuggle	' s m 6 g @ l
via	' v Ae @
depart	d @ ' p 6: t
follower	' f O l @} @
indoors	I n ' d o: z
gosh	g O S
career	k @ ' r\ I@
select	s @ ' l e k t
intensive	I n ' t e n s I v
petroleum	p @ ' t r\ @} l i: @ m
poodle	p }: d @ l
maltreat	m { l ' t r\ i: t
implore	I m ' p l o:
sitter	' s I t @
fragrance	' f r\ {I g r\ @ n s
gorgeous	' g o: dZ @ s
more	m o:
drawcard	' d r\ o: k 6: d
teem	t i: m
door	d o:
company	' k 6 m p @ n i:
dissident	' d I s @ d @ n t
coyote	k Ae @} t i:
doom	d }: m
cunning	' k 6 n I N
fleece	f l i: s
fatal	' f {I t @ l
science	' s Ae @ n s
malt	m O l t
chisel	' tS I z @ l
patriarch	' p {I t r\ i: 6: k
mall	m o: l
learn	l 3: n
facelift	' f {I s l I f t
grope	g r\ @} p
male	m {I l
scramble	' s k r\ { m b @ l
beautiful	' b j }: t @ f @ l
wimp	w I m p
prompt	p r\ O m p t
memoirs	' m e m w 6: z
gallop	' g { l @ p
reincarnation	r\ i: I n k 6: ' n {I S @ n
bogy	' b @} g i:
scab	s k { b
accept	@ k ' s e p t
autumn	' o: t @ m
sense	s e n s
gallon	' g { l @ n
scar	s k 6:
dress	d r\ e s
tapestry	' t { p @ s t r\ i:
condemn	k @ n ' d e m
information	I n f @ ' m {I S @ n
dazzle	' d { z @ l
imminent	' I m @ n @ n t
enlarge	e n ' l 6: dZ
cling	k l I N
creature	' k r\ i: tS @
plant	p l { n t
lanky	' l { N k i:
minus	' m Ae n @ s
signature	' s I g n @ tS @
plane	p l {I n
backyard	b { k ' j 6: d
ethics	' e T I k s
authentic	o: ' T e n t I k
flutter	' f l 6 t @
malevolent	m @ ' l e v @ l @ n t
RSL	6: r\ e s ' e l
refuse	r\ @ ' f j }: z
resemble	r\ @ ' z e m b @ l
register	' r\ e dZ @ s t @
pucker	' p 6 k @
volleyball	' v O l i: b o: l
fundamental	f 6 n d @ ' m e n t @ l
saccharin	' s { k @ r\ @ n
patio	' p { t i: @}
pant	p { n t
mousse	m }: s
trade	t r\ {I d
attitude	' { t @ t j }: d
embassy	' e m b @ s i:
pang	p { N
brim	b r\ I m
pand	p { n d
kibble	' k I b @ l
stone-cold	s t @} n ' k @} l d
its	I t s
astrology	@ s ' t r\ O l @ dZ i:
wipe	w Ae p
bypass	' b Ae p 6: s
nifty	' n I f t i:
sauce	s o: s
ally	' { l Ae
colleague	' k O l i: g
hysterectomy	h I s t @ ' r\ e k t @ m i:
entire	e n ' t Ae @
propose	p r\ @ ' p @} z
gadget	' g { dZ @ t
paraplegic	p { r\ @ ' p l i: dZ I k
recreation	r\ e k r\ i: ' {I S @ n
abrasion	@ ' b r\ {I Z @ n
frizzy	' f r\ I z i:
headwind	' h e d w I n d
speculate	' s p e k j @ l {I t
nugget	' n 6 g @ t
always	' o: l w {I z
swimsuit	' s w I m s }: t
warped	w o: p t
repayment	r\ @ ' p {I m @ n t
hoon	h }: n
NSW	n j }: s {O T ' w {I l z
lantern	' l { n t @ n
week	w i: k
spinnaker	' s p I n @ k @
brunette	b r\ }: ' n e t
upstairs	6 p ' s t e: z
eyelash	' Ae l { S
resolute	' r\ e z @ l }: t
reduce	r\ @ ' d j }: s
police	p @ ' l i: s
clockwork	' k l O k w 3: k
blues	b l }: z
penicillin	p e n @ ' s I l @ n
terrify	' t e r\ @ f Ae
really	' r\ I@ l i:
try	t r\ Ae
mark-up	' m 6: k 6 p
lipstick	' l I p s t I k
research	r\ @ ' s 3: tS
darling	' d 6: l I N
highway	' h Ae w {I
bloody-minded	b l 6 d i: ' m Ae n d @ d
belief	b @ ' l i: f
demure	d @ ' m j U @
cockpit	' k O k p I t
qualify	' k w O l @ f Ae
proxy	' p r\ O k s i:
murmur	' m 3: m @
imagine	@ ' m { dZ @ n
stomach	' s t 6 m @ k
reproach	r\ @ ' p r\ @} tS
director	d @ ' r\ e k t @
armful	' 6: m f U l
rack	r\ { k
sicken	' s I k @ n
elective	@ ' l e k t I v
w	' d 6 b @ l j }:
bumper	' b 6 m p @
testament	' t e s t @ m @ n t
castle	' k 6: s @ l
clump	k l 6 m p
corrugated	' k O r\ @ g {I t @ d
major	' m {I dZ @
vowel	' v {O @ l
belligerent	b @ ' l I dZ @ r\ @ n t
number	' n 6 m b @
muffler	' m 6 f l @
florist	' f l O r\ @ s t
glitter	' g l I t @
differ	' d I f @
guest	g e s t
jet	dZ e t
introduction	I n t r\ @ ' d 6 k S @ n
swipe	s w Ae p
valley	' v { l i:
ID	Ae ' d i:
towel	' t {O @ l
hote	h @} t
saint	s {I n t
tinny	' t I n i:
gnash	n { S
relationship	r\ @ ' l {I S @ n S I p
omelette	' O m l @ t
immediate	@ ' m i: d i: @ t
typhoon	t Ae ' f }: n
mural	' m j }: r\ @ l
consult	k @ n ' s 6 l t
rain	r\ {I n
grace	g r\ {I s
frock	f r\ O k
determiner	d @ ' t 3: m @ n @
vocal	' v @} k @ l
determined	d @ ' t 3: m @ n d
marriage	' m { r\ I dZ
video	' v I d i: @}
psyche	' s Ae k i:
defect	' d i: f e k t
pedestrian	p @ ' d e s t r\ i: @ n
caress	k @ ' r\ e s
graffiti	g r\ @ ' f i: t i:
blond	b l O n d
gasket	' g { s k @ t
sell	s e l
shrivel	' S r\ I v @ l
untie	6 n ' t Ae
tarnish	' t 6: n I S
spaghetti	s p @ ' g e t i:
self	s e l f
ex-	e k s
commotion	k @ ' m @} S @ n
heterosexual	h e t @ r\ @ ' s e k S }: @ l
self-service	s e l f ' s 3: v @ s
also	' o: l s @}
jostle	' dZ O s @ l
depression	d @ ' p r\ e S @ n
analogy	@ ' n { l @ dZ i:
frail	f r\ {I l
brace	b r\ {I s
bobbin	' b O b @ n
kneecap	' n i: k { p
hypochondriac	h Ae p @ ' k O n d r\ i: { k
hurtle	' h 3: t @ l
puree	' p j }: r\ {I
swum	s w 6 m
blackboard	' b l { k b o: d
M	e m
singlet	' s I N l @ t
yawn	j o: n
virus	' v Ae r\ @ s
shake-up	' S {I k 6 p
plan	p l { n
model	' m O d @ l
oyster	' oI s t @
directive	d @ ' r\ e k t I v
arson	' 6: s @ n
seize	s i: z
covet	' k 6 v @ t
sometimes	' s 6 m t Ae m z
cover	' k 6 v @
takings	' t {I k I N z
bullseye	' b U l z Ae
barren	' b { r\ @ n
barrel	' b { r\ @ l
bulletin	' b U l @ t @ n
despise	d @ ' s p Ae z
Hal	h { l
gold	g @} l d
exterminate	@ k ' s t 3: m @ n {I t
defoliant	d @ ' f @} l i: @ n t
desolate	' d e s @ l @ t
freight	f r\ {I t
overwhelmed	@} v @ w e l m d
blender	' b l e n d @
impact	' I m p { k t
indicator	' I n d @ k {I t @
Senate	' s e n @ t
spineless	' s p Ae n l @ s
sacrilege	' s { k r\ @ l I dZ
cassette	k @ ' s e t
stocking	' s t O k I N
condom	' k O n d O m
factor	' f { k t @
downpour	' d {O n p o:
dependent	d @ ' p e n d @ n t
secular	' s e k j @ l @
sunny	' s 6 n i:
resent	r\ @ ' z e n t
remedy	' r\ e m @ d i:
compass	' k 6 m p @ s
banner	' b { n @
enemy	' e n @ m i:
progressive	p r\ @ ' g r\ e s I v
cry	k r\ Ae
well-off	w e l ' O f
bird	b 3: d
scrutinise	' s k r\ }: t @ n Ae z
caramel	' k { r\ @ m @ l
kill	k I l
obscure	@ b ' s k j }: @
river	' r\ I v @
prospectus	p r\ @ ' s p e k t @ s
insane	I n ' s {I n
set	s e t
bluebottle	' b l }: b O t @ l
overwhelm	@} v @ ' w e l m
jade	dZ {I d
nibble	' n I b @ l
potent	' p @} t @ n t
sex	s e k s
see	s i:
sec	s e k
backfire	b { k ' f Ae @
sea	s i:
overboard	' @} v @ b o: d
contour	' k O n t U @
shower	' S {O @
baritone	' b { r\ @ t @} n
didgeridoo	d I dZ @ r\ i: ' d }:
movie	' m }: v i:
crossword	' k r\ O s w 3: d
compliment	' k O m p l @ m @ n t
available	@ ' v {I l @ b @ l
mildew	' m I l d j }:
hardship	' h 6: d S I p
disallow	d I s @ ' l {O
incident	' I n s @ d @ n t
dividend	' d I v @ d e n d
scatterbrain	' s k { t @ b r\ {I n
cryptic	' k r\ I p t I k
last	l 6: s t
opal	' @} p @ l
feminist	' f e m @ n @ s t
scamp	s k { m p
lash	l { S
poverty	' p O v @ t i:
approve	@ ' p r\ }: v
load	l @} d
loaf	l @} f
electrician	@ l e k ' t r\ I S @ n
majesty	' m { dZ @ s t i:
bell	b e l
loam	l @} m
incest	' I n s e s t
forklift	' f o: k l I f t
allegiance	@ ' l i: dZ @ n s
community	k @ ' m j }: n @ t i:
coincidence	k @} ' I n s @ d @ n s
scallop	' s k O l @ p
church	tS 3: tS
indefinite	I n ' d e f @ n @ t
belt	b e l t
souffle	' s }: f l {I
devil	' d e v @ l
seep	s i: p
satire	' s { t Ae @
instalment	I n ' s t o: l m @ n t
proprietor	p r\ @ ' p r\ Ae @ t @
extravagant	@ k ' s t r\ { v @ g @ n t
drink-driving	d r\ I N k ' d r\ Ae v I N
veneer	v @ ' n I@
firm	f 3: m
sweetheart	' s w i: t h 6: t
champion	' tS { m p i: @ n
fire	f Ae @
remark	r\ @ ' m 6: k
fund	f 6 n d
awake	@ ' w {I k
representative	r\ e p r\ @ ' z e n t @ t I v
deport	d @ ' p o: t
judicial	dZ }: ' d I S @ l
reliable	r\ @ ' l Ae @ b @ l
budget	' b 6 dZ @ t
far-sighted	f 6: ' s Ae t @ d
admire	@ d ' m Ae @
technical	' t e k n I k @ l
cagey	' k {I dZ i:
error	' e r\ @
kingdom	' k I N d @ m
pound	p {O n d
backing	' b { k I N
calculator	' k { l k j @ l {I t @
vow	v {O
triple	' t r\ I p @ l
vanish	' v { n I S
chase	tS {I s
funny	' f 6 n i:
decor	' d {I k o:
decoy	' d i: k oI
shorten	' S o: t @ n
ruler	' r\ }: l @
serum	' s I@ r\ @ m
premonition	' p r\ e m @ n I S @ n
stung	s t 6 N
commune	' k O m j }: n
knitting	' n I t I N
snail	s n {I l
cigar	s @ ' g 6:
upbringing	' 6 p b r\ I N I N
alert	@ ' l 3: t
leapt	l e p t
cucumber	' k j }: k 6 m b @
nickname	' n I k n {I m
implement	' I m p l @ m @ n t
infamous	' I n f @ m @ s
recent	' r\ i: s @ n t
expend	@ k ' s p e n d
concrete	' k O N k r\ i: t
geriatrics	dZ e r\ i: ' { t r\ I k s
fuckwit	' f 6 k w I t
make-believe	' m {I k b @ l i: v
clearance	' k l I@ r\ @ n s
comprise	k @ m ' p r\ Ae z
Labor	' l {I b @
abbreviation	@ b r\ i: v i: ' {I S @ n
doily	' d oI l i:
sandal	' s { n d @ l
signal	' s I g n @ l
amputee	{ m p j @ ' t i:
admission	@ d ' m I S @ n
fitting	' f I t I N
eager	' i: g @
snappy	' s n { p i:
location	l @} k {I S @ n
homeland	' h @} m l { n d
selfish	' s e l f I S
liqueur	l @ ' k j }: @
niece	n i: s
australia	@ s t r\ {I l i: @
emergency	@ ' m 3: dZ @ n s i:
format	' f o: m { t
couple	' k 6 p @ l
bureaucrat	' b j }: r\ @ k r\ { t
suffering	' s 6 f @ r\ I N
quest	k w e s t
standstill	' s t { n d s t I l
flannel	' f l { n @ l
OK	@} ' k {I
d	d i:
marquee	m 6: ' k i:
spine	s p Ae n
chorus	' k o: r\ @ s
continue	k @ n ' t I n j }:
spiny	' s p Ae n i:
stylish	' s t Ae l I S
disorder	d I s ' o: d @
gargle	' g 6: g @ l
spring	s p r\ I N
sorbet	' s o: b {I
bounce	b {O n s
Fahrenheit	' f { r\ @ n h Ae t
beckon	' b e k @ n
bouncy	' b {O n s i:
mighty	' m Ae t i:
sight	s Ae t
curious	' k j }: r\ i: @ s
sprint	s p r\ I n t
battalion	b @ ' t { l j @ n
pale	p {I l
amicable	' { m I k @ b @ l
momentary	' m @} : m @ n t r\ i:
mortuary	' m o: tS @ r\ i:
mummy	' m 6 m i:
novelty	' n O v @ l t i:
religion	r\ @ ' l I dZ @ n
behave	b @ ' h {I v
harness	' h 6: n @ s
be	b i:
nodule	' n O d j }: l
agreement	@ ' g r\ i: m @ n t
carol	' k { r\ @ l
by	b Ae
wildlife	' w Ae l d l Ae f
zip	z I p
anything	' e n i: T I N
hatchet	' h { tS @ t
sacrament	' s { k r\ @ m @ n t
ambush	' { m b U S
biennial	b Ae ' e n i: @ l
repair	r\ @ ' p e:
gonorrhoea	g O n @ ' r\ i: @
Shaw	S o:
garbage	' g 6: b I dZ
into	' I n t }:
integral	' I n t @ g r\ @ l
appropriate	@ ' p r\ @} p r\ i: @ t
insecticide	I n ' s e k t @ s Ae d
sightseeing	' s Ae t s i: I N
span	s p { n
passers	p 6: s @ z
arcade	6: ' k {I d
sock	s O k
submit	s @ b ' m I t
custom	' k 6 s t @ m
semi-detached	s e m i: d @ ' t { tS t
occupy	' O k j @ p Ae
check-up	' tS e k 6 p
suit	s }: t
jillaroo	' dZ I l @ r\ }:
jarrah	' dZ { r\ @
blueprint	' b l }: p r\ I n t
impudent	' I m p j @ d @ n t
elsewhere	' e l s w e:
infinitive	I n ' f I n @ t I v
tally	' t { l i:
slump	s l 6 m p
archaic	6: ' k {I I k
link	l I N k
atom	' { t @ m
line	l Ae n
idea	Ae ' d I@
bandicoot	' b { n d i: k }: t
considerable	k @ n ' s I d r\ @ b @ l
GDP	dZ i: d i: ' p i:
Anzac	' { n z { k
up	6 p
us	6 s
flagon	' f l { g @ n
um	6 m
slander	' s l { n d @
mature	m @ ' tS U @
medical	' m e d I k @ l
genial	' dZ i: n i: @ l
tautology	t o: ' t O l @ dZ i:
aerial	' e: r\ i: @ l
reconcile	' r\ e k @ n s Ae l
pencil	' p e n s @ l
influence	' I n f l }: @ n s
haunt	h o: n t
chap	tS { p
diverse	d Ae ' v 3: s
nationalise	' n { S @ n @ l Ae z
chat	tS { t
nationalism	' n { S @ n @ l I z m
phantom	' f { n t @ m
nettle	' n e t @ l
paradox	' p { r\ @ d O k s
sunken	' s 6 N k @ n
tuft	t 6 f t
retrace	r\ i: ' t r\ {I s
uranium	j }: ' r\ {I n i: @ m
invalid	I n ' v { l @ d
occasional	@ ' k {I Z @ n @ l
deviate	' d i: v i: {I t
tart	t 6: t
rubella	r\ }: ' b e l @
scrub	s k r\ 6 b
besiege	b @ ' s i: dZ
oblige	@ ' b l Ae dZ
lucid	' l }: s @ d
scrum	s k r\ 6 m
cobblestone	k O b @ l s t @} n
worm	w 3: m
ago	@ ' g @}
furthest	' f 3: D @ s t
lane	l {I n
land	l { n d
wafer	' w {I f @
scotch	s k O tS
age	{I dZ
lank	l { N k
crease	k r\ i: s
feud	f j }: d
beverage	' b e v r\ I dZ
crinkle	' k r\ I N k @ l
fresh	f r\ e S
marvel	' m 6: v @ l
hello	h 6 ' l @}
essay	' e s {I
code	k @} d
partial	' p 6: S @ l
ashamed	@ ' S {I m d
scratch	s k r\ { tS
totem	' t @} t @ m
jiggle	' dZ I g @ l
dainty	' d {I n t i:
gossip	' g O s @ p
flashback	' f l { S b { k
conversation	k O n v @ ' s {I S @ n
windowsill	' w I n d @} s I l
bicentenary	b Ae s e n ' t i: n @ r\ i:
hunger	' h 6 N g @
young	j 6 N
send	s e n d
moor	m o:
outwards	' {O t w @ d z
dislike	d I s ' l Ae k
sent	s e n t
deficit	' d e f @ s @ t
probe	p r\ @} b
street	s t r\ i: t
garden	' g 6: d @ n
torture	' t o: tS @
quadruplet	k w O d ' r\ }: p l @ t
squirt	s k w 3: t
timely	' t Ae m l i:
magic	' m { dZ I k
marry	' m { r\ i:
eve	i: v
Sabbath	' s { b @ T
anxious	' { N S @ s
this	D I s
race	r\ {I s
rebate	' r\ i: b {I t
athlete	' { T l i: t
pledge	p l e dZ
seventies	' s e v @ n t i: z
mishap	' m I s h { p
crook	k r\ U k
imply	I m ' p l Ae
croon	k r\ }: n
wheat	w i: t
dynamics	d Ae ' n { m I k s
odd	O d
index	' I n d e k s
apparatus	{ p @ ' r\ 6: t @ s
multimedia	m 6 l t i: ' m i: d i: @
Alan	{ l @ n
henceforth	h e n s ' f o: T
twins	t w I n z
biro	' b Ae r\ @}
sixth	s I k s T
charade	S @ ' r\ 6: d
lolly	' l O l i:
scenery	' s i: n @ r\ i:
led	l e d
leg	l e g
respectively	r\ @ ' s p e k t I v l i:
wishy-washy	' w I S i: w O S i:
punch	p 6 n tS
let	l e t
licence	' l Ae s @ n s
second-rate	' s e k @ n d r\ {I t
consideration	k @ n s I d @ ' r\ {I S @ n
fifteen	f I f ' t i: n
physiology	f I z i: ' O l @ dZ i:
Commonwealth	' k O m @ n w e l T
vinegar	' v I n I g @
great	g r\ {I t
engage	e n ' g {I dZ
receive	r\ @ ' s i: v
involved	I n ' v O l v d
casino	k @ ' s i: n @}
screech	s k r\ i: tS
scatter	' s k { t @
quaint	k w {I n t
survey	s @ ' v {I
insulin	' I n S @ l @ n
grandchild	' g r\ { n tS Ae l d
defeat	d @ ' f i: t
opinion	@ ' p I n j @ n
bookkeeping	' b U k k i: p I N
disobey	d I s @ ' b {I
sixty	' s I k s t i:
pillion	p I l j @ n
standing	' s t { n d I N
confidence	' k O n f @ d @ n s
certificate	s @ ' t I f @ k @ t
illegal	I ' l i: g @ l
murky	' m 3: k i:
next	n e k s t
eleven	@ ' l e v @ n
duplicate	' d j }: p l @ k {I t
doubt	d {O t
midday	' m I d d {I
confiscate	' k O n f @ s k {I t
dealings	' d i: l I N z
subdued	s @ b ' d j }: d
rubbish	' r\ 6 b I S
baby	' b {I b i:
gherkin	' g 3: k @ n
casserole	' k { s @ r\ @} l
charity	' tS { r\ @ t i:
customer	' k 6 s t @ m @
pout	p {O t
challenge	' tS { l @ n dZ
pour	p o:
reproduce	r\ i: p r\ @ ' d j }: s
thin	T I n
drill	d r\ I l
shook	S U k
coffin	' k O f @ n
streamer	' s t r\ i: m @
wedge	w e dZ
bent	b e n t
pawn	p o: n
process	' p r\ @} s e s
lock	l O k
slim	s l I m
rode	r\ @} d
high	h Ae
slit	s l I t
bend	b e n d
slip	s l I p
pelvis	' p e l v @ s
martyr	' m 6: t @
trumpet	' t r\ 6 m p @ t
Christmas	' k r\ I s m @ s
delay	d @ ' l {I
mumps	m 6 m p s
animal	' { n @ m @ l
blackhead	' b l { k h e d
comedy	' k O m @ d i:
establishment	@ ' s t { b l I S m @ n t
singular	' s I N g j @ l @
await	@ ' w {I t
Q	k j }:
tier	' t I@
cabbage	' k { b I dZ
hawk	h o: k
autograph	' o: t @ g r\ { f
tomato	t @ ' m 6: t @}
deranged	d @ ' r\ {I n dZ d
counter	' k {O n t @
robot	' r\ @} b O t
redundant	r\ @ ' d 6 n d @ n t
element	' e l @ m @ n t
bursar	' b 3: s @
allot	@ ' l O t
allow	@ ' l {O
understate	6 n d @ ' s t {I t
thigh	T Ae
mute	m j }: t
move	m }: v
outlook	' {O t l U k
doubtful	' d {O t f U l
comma	' k O m @
motorcycle	' m @} t @ s Ae k @ l
perfect	' p 3: f I k t
decay	d @ ' k {I
chosen	' tS @} z @ n
dispose	d @ ' s p @} z
pullover	' p U l @} v @
meantime	' m i: n t Ae m
hobby	' h O b i:
derelict	' d e r\ @ l I k t
prosper	' p r\ O s p @
bilingual	b Ae ' l I N g w @ l
python	' p Ae T @ n
belch	b e l tS
hemline	' h e m l Ae n
earn	3: n
ship	S I p
dock	d O k
sandpaper	' s { n d p {I p @
kiss	k I s
cage	k {I dZ
transparent	t r\ { n z ' p e: r\ @ n t
intelligent	I n ' t e l @ dZ @ n t
concave	' k O n k {I v
merge	m 3: dZ
VIP	v i: Ae ' p i:
truth	t r\ }: T
shortage	' S o: t I dZ
beneath	b @ ' n i: T
scorch	s k o: tS
strode	s t r\ @} d
homogeneous	h @} m @ ' dZ i: n i: @ s
beginner	b @ ' g I n @
bump	b 6 m p
society	s @ ' s Ae @ t i:
frequency	' f r\ i: k w @ n s i:
static	' s t { t I k
thirteen	T 3: ' t i: n
jagged	' dZ { g @ d
disco	' d I s k @}
agriculture	' { g r\ @ k 6 l tS @
goalkeeper	' g @} l k i: p @
witness	' w I t n @ s
borderline	' b o: d @ l Ae n
boutique	b }: ' t i: k
valve	v { l v
microscope	' m Ae k r\ @ s k @} p
venom	' v e n @ m
sever	' s e v @
hilarious	h @ ' l e: r\ i: @ s
oblong	' O b l O N
stare	s t e:
shut	S 6 t
hire-purchase	h Ae @ ' p 3: tS @ s
perish	' p e r\ I S
unwieldy	6 n ' w I@ l d i:
greedy	' g r\ i: d i:
graze	g r\ {I z
surely	' S o: l i:
sanatorium	s { n @ ' t o: r\ i: @ m
shun	S 6 n
embarrass	e m ' b { r\ @ s
chilli	' tS I l i:
mainland	' m {I n l { n d
spill	s p I l
